airfoil,max_camber_pct,camber_pos,thickness_pct,angle_of_attack,reynolds_number,Cl,Cd,Cm,LD_ratio
NACA0006,0,1,6,-6,500000,-0.65797,0.02575,0.00524,-25.55
NACA0006,0,1,6,-6,1000000,-0.65797,0.02575,0.00524,-25.55
NACA0006,0,1,6,-6,3000000,-0.65797,0.02575,0.00524,-25.55
NACA0006,0,1,6,-4,500000,-0.43865,0.01449,0.00349,-30.27
NACA0006,0,1,6,-4,1000000,-0.43865,0.01449,0.00349,-30.27
NACA0006,0,1,6,-4,3000000,-0.43865,0.01449,0.00349,-30.27
NACA0006,0,1,6,-2,500000,-0.21932,0.00773,0.00175,-28.37
NACA0006,0,1,6,-2,1000000,-0.21932,0.00773,0.00175,-28.37
NACA0006,0,1,6,-2,3000000,-0.21932,0.00773,0.00175,-28.37
NACA0006,0,1,6,0,500000,0.0,0.00548,-0.0,0.0
NACA0006,0,1,6,0,1000000,0.0,0.00548,-0.0,0.0
NACA0006,0,1,6,0,3000000,0.0,0.00548,-0.0,0.0
NACA0006,0,1,6,2,500000,0.21932,0.00773,-0.00175,28.37
NACA0006,0,1,6,2,1000000,0.21932,0.00773,-0.00175,28.37
NACA0006,0,1,6,2,3000000,0.21932,0.00773,-0.00175,28.37
NACA0006,0,1,6,4,500000,0.43865,0.01449,-0.00349,30.27
NACA0006,0,1,6,4,1000000,0.43865,0.01449,-0.00349,30.27
NACA0006,0,1,6,4,3000000,0.43865,0.01449,-0.00349,30.27
NACA0006,0,1,6,6,500000,0.65797,0.02575,-0.00524,25.55
NACA0006,0,1,6,6,1000000,0.65797,0.02575,-0.00524,25.55
NACA0006,0,1,6,6,3000000,0.65797,0.02575,-0.00524,25.55
NACA0006,0,1,6,8,500000,0.8773,0.04151,-0.00698,21.13
NACA0006,0,1,6,8,1000000,0.8773,0.04151,-0.00698,21.13
NACA0006,0,1,6,8,3000000,0.8773,0.04151,-0.00698,21.13
NACA0006,0,1,6,10,500000,1.09662,0.06178,-0.00873,17.75
NACA0006,0,1,6,10,1000000,1.09662,0.06177,-0.00873,17.75
NACA0006,0,1,6,10,3000000,1.09662,0.06177,-0.00873,17.75
NACA0006,0,1,6,12,500000,1.31595,0.08654,-0.01047,15.21
NACA0006,0,1,6,12,1000000,1.31595,0.08654,-0.01047,15.21
NACA0006,0,1,6,12,3000000,1.31595,0.08654,-0.01047,15.21
NACA0006,0,1,6,14,500000,1.53522,0.11588,-0.01222,13.25
NACA0006,0,1,6,14,1000000,1.53522,0.11588,-0.01222,13.25
NACA0006,0,1,6,14,3000000,1.53522,0.11588,-0.01222,13.25
NACA0006,0,1,6,16,500000,1.74684,0.14909,-0.01396,11.72
NACA0006,0,1,6,16,1000000,1.74684,0.14909,-0.01396,11.72
NACA0006,0,1,6,16,3000000,1.74684,0.14909,-0.01396,11.72
NACA0008,0,1,8,-6,500000,-0.65797,0.02591,0.00524,-25.39
NACA0008,0,1,8,-6,1000000,-0.65797,0.02591,0.00524,-25.39
NACA0008,0,1,8,-6,3000000,-0.65797,0.02591,0.00524,-25.39
NACA0008,0,1,8,-4,500000,-0.43865,0.01465,0.00349,-29.94
NACA0008,0,1,8,-4,1000000,-0.43865,0.01465,0.00349,-29.94
NACA0008,0,1,8,-4,3000000,-0.43865,0.01465,0.00349,-29.94
NACA0008,0,1,8,-2,500000,-0.21932,0.00789,0.00175,-27.8
NACA0008,0,1,8,-2,1000000,-0.21932,0.00789,0.00175,-27.8
NACA0008,0,1,8,-2,3000000,-0.21932,0.00789,0.00175,-27.8
NACA0008,0,1,8,0,500000,0.0,0.00564,-0.0,0.0
NACA0008,0,1,8,0,1000000,0.0,0.00564,-0.0,0.0
NACA0008,0,1,8,0,3000000,0.0,0.00564,-0.0,0.0
NACA0008,0,1,8,2,500000,0.21932,0.00789,-0.00175,27.8
NACA0008,0,1,8,2,1000000,0.21932,0.00789,-0.00175,27.8
NACA0008,0,1,8,2,3000000,0.21932,0.00789,-0.00175,27.8
NACA0008,0,1,8,4,500000,0.43865,0.01465,-0.00349,29.94
NACA0008,0,1,8,4,1000000,0.43865,0.01465,-0.00349,29.94
NACA0008,0,1,8,4,3000000,0.43865,0.01465,-0.00349,29.94
NACA0008,0,1,8,6,500000,0.65797,0.02591,-0.00524,25.39
NACA0008,0,1,8,6,1000000,0.65797,0.02591,-0.00524,25.39
NACA0008,0,1,8,6,3000000,0.65797,0.02591,-0.00524,25.39
NACA0008,0,1,8,8,500000,0.8773,0.04167,-0.00698,21.05
NACA0008,0,1,8,8,1000000,0.8773,0.04167,-0.00698,21.05
NACA0008,0,1,8,8,3000000,0.8773,0.04167,-0.00698,21.05
NACA0008,0,1,8,10,500000,1.09662,0.06194,-0.00873,17.7
NACA0008,0,1,8,10,1000000,1.09662,0.06193,-0.00873,17.71
NACA0008,0,1,8,10,3000000,1.09662,0.06193,-0.00873,17.71
NACA0008,0,1,8,12,500000,1.31595,0.0867,-0.01047,15.18
NACA0008,0,1,8,12,1000000,1.31595,0.0867,-0.01047,15.18
NACA0008,0,1,8,12,3000000,1.31595,0.0867,-0.01047,15.18
NACA0008,0,1,8,14,500000,1.53527,0.11598,-0.01222,13.24
NACA0008,0,1,8,14,1000000,1.53527,0.11598,-0.01222,13.24
NACA0008,0,1,8,14,3000000,1.53527,0.11598,-0.01222,13.24
NACA0008,0,1,8,16,500000,1.75049,0.14964,-0.01396,11.7
NACA0008,0,1,8,16,1000000,1.75049,0.14964,-0.01396,11.7
NACA0008,0,1,8,16,3000000,1.75049,0.14964,-0.01396,11.7
NACA0010,0,1,10,-6,500000,-0.65797,0.02607,0.00524,-25.24
NACA0010,0,1,10,-6,1000000,-0.65797,0.02607,0.00524,-25.24
NACA0010,0,1,10,-6,3000000,-0.65797,0.02607,0.00524,-25.24
NACA0010,0,1,10,-4,500000,-0.43865,0.01481,0.00349,-29.62
NACA0010,0,1,10,-4,1000000,-0.43865,0.01481,0.00349,-29.62
NACA0010,0,1,10,-4,3000000,-0.43865,0.01481,0.00349,-29.62
NACA0010,0,1,10,-2,500000,-0.21932,0.00805,0.00175,-27.24
NACA0010,0,1,10,-2,1000000,-0.21932,0.00805,0.00175,-27.24
NACA0010,0,1,10,-2,3000000,-0.21932,0.00805,0.00175,-27.24
NACA0010,0,1,10,0,500000,0.0,0.0058,-0.0,0.0
NACA0010,0,1,10,0,1000000,0.0,0.0058,-0.0,0.0
NACA0010,0,1,10,0,3000000,0.0,0.0058,-0.0,0.0
NACA0010,0,1,10,2,500000,0.21932,0.00805,-0.00175,27.24
NACA0010,0,1,10,2,1000000,0.21932,0.00805,-0.00175,27.24
NACA0010,0,1,10,2,3000000,0.21932,0.00805,-0.00175,27.24
NACA0010,0,1,10,4,500000,0.43865,0.01481,-0.00349,29.62
NACA0010,0,1,10,4,1000000,0.43865,0.01481,-0.00349,29.62
NACA0010,0,1,10,4,3000000,0.43865,0.01481,-0.00349,29.62
NACA0010,0,1,10,6,500000,0.65797,0.02607,-0.00524,25.24
NACA0010,0,1,10,6,1000000,0.65797,0.02607,-0.00524,25.24
NACA0010,0,1,10,6,3000000,0.65797,0.02607,-0.00524,25.24
NACA0010,0,1,10,8,500000,0.8773,0.04183,-0.00698,20.97
NACA0010,0,1,10,8,1000000,0.8773,0.04183,-0.00698,20.97
NACA0010,0,1,10,8,3000000,0.8773,0.04183,-0.00698,20.97
NACA0010,0,1,10,10,500000,1.09662,0.0621,-0.00873,17.66
NACA0010,0,1,10,10,1000000,1.09662,0.06209,-0.00873,17.66
